x (m)	y (m)	z (m)	 	R (m)	Theta (deg)	z (m)	 	Bx (T)	By (T)	Bz (T)	 	Br (T)	Btheta (T)	Bz (T)	 	B (T)
-5	0	0	 	5	180	0	 	-1.09226e-16	-0.891902	0	 	0	0.891902	0	 	0.891902
-4.95	0	0	 	4.95	180	0	 	-1.10883e-16	-0.905426	0	 	0	0.905426	0	 	0.905426
-4.9	0	0	 	4.9	180	0	 	-1.12575e-16	-0.919247	0	 	0	0.919247	0	 	0.919247
-4.85	0	0	 	4.85	180	0	 	-1.14306e-16	-0.933375	0	 	0	0.933375	0	 	0.933375
-4.8	0	0	 	4.8	180	0	 	-1.16074e-16	-0.947819	0	 	0	0.947819	0	 	0.947819
-4.75	0	0	 	4.75	180	0	 	-1.17883e-16	-0.962588	0	 	0	0.962588	0	 	0.962588
-4.7	0	0	 	4.7	180	0	 	-1.19733e-16	-0.977692	0	 	0	0.977692	0	 	0.977692
-4.65	0	0	 	4.65	180	0	 	-1.21625e-16	-0.99314	0	 	0	0.99314	0	 	0.99314
-4.6	0	0	 	4.6	180	0	 	-1.2356e-16	-1.00895	0	 	0	1.00895	0	 	1.00895
-4.55	0	0	 	4.55	180	0	 	-1.25541e-16	-1.02512	0	 	0	1.02512	0	 	1.02512
-4.5	0	0	 	4.5	180	0	 	-1.27568e-16	-1.04167	0	 	0	1.04167	0	 	1.04167
-4.45	0	0	 	4.45	180	0	 	-1.29642e-16	-1.05861	0	 	0	1.05861	0	 	1.05861
-4.4	0	0	 	4.4	180	0	 	-1.31766e-16	-1.07595	0	 	0	1.07595	0	 	1.07595
-4.35	0	0	 	4.35	180	0	 	-1.33941e-16	-1.09371	0	 	0	1.09371	0	 	1.09371
-4.3	0	0	 	4.3	180	0	 	-1.36169e-16	-1.11191	0	 	0	1.11191	0	 	1.11191
-4.25	0	0	 	4.25	180	0	 	-1.38451e-16	-1.13054	0	 	0	1.13054	0	 	1.13054
-4.2	0	0	 	4.2	180	0	 	-1.4079e-16	-1.14964	0	 	0	1.14964	0	 	1.14964
-4.15	0	0	 	4.15	180	0	 	-1.43187e-16	-1.16921	0	 	0	1.16921	0	 	1.16921
-4.1	0	0	 	4.1	180	0	 	-1.45643e-16	-1.18927	0	 	0	1.18927	0	 	1.18927
-4.05	0	0	 	4.05	180	0	 	-1.48163e-16	-1.20984	0	 	0	1.20984	0	 	1.20984
-4	0	0	 	4	180	0	 	-1.50746e-16	-1.23094	0	 	0	1.23094	0	 	1.23094
-3.95	0	0	 	3.95	180	0	 	-1.53397e-16	-1.25258	0	 	0	1.25258	0	 	1.25258
-3.9	0	0	 	3.9	180	0	 	-1.56116e-16	-1.27478	0	 	0	1.27478	0	 	1.27478
-3.85	0	0	 	3.85	180	0	 	-1.58907e-16	-1.29758	0	 	0	1.29758	0	 	1.29758
-3.8	0	0	 	3.8	180	0	 	-1.61773e-16	-1.32098	0	 	0	1.32098	0	 	1.32098
-3.75	0	0	 	3.75	180	0	 	-1.64716e-16	-1.34501	0	 	0	1.34501	0	 	1.34501
-3.7	0	0	 	3.7	180	0	 	-1.67739e-16	-1.36969	0	 	0	1.36969	0	 	1.36969
-3.65	0	0	 	3.65	180	0	 	-1.70845e-16	-1.39506	0	 	0	1.39506	0	 	1.39506
-3.6	0	0	 	3.6	180	0	 	-1.74038e-16	-1.42113	0	 	0	1.42113	0	 	1.42113
-3.55	0	0	 	3.55	180	0	 	-1.77321e-16	-1.44793	0	 	0	1.44793	0	 	1.44793
-3.5	0	0	 	3.5	180	0	 	-1.80697e-16	-1.4755	0	 	0	1.4755	0	 	1.4755
-3.45	0	0	 	3.45	180	0	 	-1.84171e-16	-1.50387	0	 	0	1.50387	0	 	1.50387
-3.4	0	0	 	3.4	180	0	 	-1.87746e-16	-1.53306	0	 	0	1.53306	0	 	1.53306
